rank,track,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,baseline_accuracy,baseline_f1,delta_vs_baseline_accuracy,delta_vs_baseline_f1
554,binary,standard,pca,none,logistic_regression,0.8080867797217902,0.991869918699187,0.040863150656486,0.0782647896261736,0.5198259412842179,0.016829208335063035,0.004171194663892134,0.821739120178421,0.2034644163515437,-0.013652340456630774,-0.1251996267253701
555,binary,minmax,pca,wrapper_rfe,lda_classifier,0.8079997929556187,0.9749694749694751,0.04129604224749594,0.07886461693580617,0.5268060807494567,0.0118070693376163,0.0005913196655455334,0.8245217667200473,0.23028046643744593,-0.016521973764428544,-0.15141584950163978
556,binary,minmax,pca,filter_chi2,lda_classifier,0.8079129196011374,0.9745614035087721,0.04086258330184513,0.07816968983252508,0.5248445440673699,0.0114794859934287,0.0006231526591969667,0.8245217667200473,0.23028046643744593,-0.016608847118909864,-0.15211077660492084
557,binary,minmax,pca,embedded_l1,lda_classifier,0.8079128288717855,0.9745196324143693,0.040861448592563306,0.07807447673472627,0.5268279096544989,0.0193110969945943,0.00032848600919043337,0.8245217667200473,0.23028046643744593,-0.016608937848261784,-0.15220598970271965
558,binary,minmax,none,filter_chi2,lda_classifier,0.8079128061894476,0.9851851851851853,0.0404285570015534,0.07736140798281886,0.4038185235295542,0.011144319335774767,0.0006852496784024668,0.8245217667200473,0.23028046643744593,-0.01660896053059968,-0.15291905845462705
559,binary,standard,pca,filter_anova,lda_classifier,0.8078259555173041,0.9578947368421052,0.04086258330184513,0.07814916072170568,0.5212115266787151,0.011114305350929466,0.00036773632746183333,0.8245217667200473,0.23028046643744593,-0.016695811202743216,-0.15213130571574024
560,binary,standard,pca,filter_correlation,lda_classifier,0.8078259555173041,0.9578947368421052,0.04086258330184513,0.07814916072170568,0.5212115266787151,0.012575347345167133,0.00031784699725293333,0.8245217667200473,0.23028046643744593,-0.016695811202743216,-0.15213130571574024
561,binary,robust,pca,filter_chi2,lda_classifier,0.8077389687511327,0.9739091318038687,0.03999282863733893,0.07655072170199394,0.5188315376412084,0.010445708661184902,0.0004253753383333,0.8245217667200473,0.23028046643744593,-0.016782797968914576,-0.15372974473545198
562,binary,standard,pca,embedded_l1,lda_classifier,0.8076521180789893,0.9586093077141671,0.03999509805590253,0.07665840384891891,0.5252828512470952,0.04262270832744733,0.0003866113353675333,0.8245217667200473,0.23028046643744593,-0.016869648641058,-0.153622062588527
563,binary,standard,pca,wrapper_rfe,lda_classifier,0.8076521180789893,0.9586093077141671,0.03999509805590253,0.07665840384891891,0.5252828512470952,0.012285194670160565,0.0005959443224128001,0.8245217667200473,0.23028046643744593,-0.016869648641058,-0.153622062588527
564,binary,minmax,none,embedded_l1,logistic_regression,0.8075651993598317,0.9895833333333334,0.0382589928547356,0.07364926583028153,0.42147615801692667,0.35444704165759805,0.0011494030089427667,0.821739120178421,0.2034644163515437,-0.014173920818589258,-0.12981515052126216
565,binary,minmax,none,none,logistic_regression,0.8075651993598317,0.9895833333333334,0.0382589928547356,0.07364926583028153,0.42147615801692667,0.24388176366725622,0.0007809586628960667,0.821739120178421,0.2034644163515437,-0.014173920818589258,-0.12981515052126216
566,binary,standard,none,wrapper_rfe,lda_classifier,0.8075651539951559,0.9705882352941176,0.0391315842924463,0.07517610562554379,0.5143207442714338,0.0169906803348567,0.0005371943407225668,0.8245217667200473,0.23028046643744593,-0.01695661272489135,-0.15510436081190215
567,binary,robust,svd,none,lda_classifier,0.8074781445466465,0.9803240740740741,0.038256723436171966,0.0735358868562714,0.41109248262576337,0.021811791676251763,0.0008034026638293667,0.8245217667200473,0.23028046643744593,-0.01704362217340083,-0.15674457958117455
568,binary,robust,svd,filter_anova,lda_classifier,0.8074781218643086,0.980238302818948,0.038256723436172,0.0735259240608529,0.40940184063561813,0.010375583340646666,0.0005875553179066333,0.8245217667200473,0.23028046643744593,-0.017043644855738727,-0.15675454237659303
569,binary,robust,svd,filter_correlation,lda_classifier,0.8074781218643086,0.980238302818948,0.038256723436172,0.0735259240608529,0.40940184063561813,0.010121375002199734,0.0005529306654352334,0.8245217667200473,0.23028046643744593,-0.017043644855738727,-0.15675454237659303
570,binary,standard,svd,filter_anova,lda_classifier,0.8073042390613178,0.9793650793650794,0.037388103480947635,0.07195419198311004,0.41286114293677456,0.011320958001306199,0.00039508365443903336,0.8245217667200473,0.23028046643744593,-0.017217527658729526,-0.1583262744543359
571,binary,standard,svd,filter_correlation,lda_classifier,0.8073042390613178,0.9793650793650794,0.037388103480947635,0.07195419198311004,0.41286114293677456,0.0128342083286649,0.0007957639948774999,0.8245217667200473,0.23028046643744593,-0.017217527658729526,-0.1583262744543359
572,binary,standard,svd,none,lda_classifier,0.8073041936966417,0.9794967381174278,0.0373875361263067,0.0719138536839055,0.4124328003309999,0.021105485997395534,0.00037136133566183335,0.8245217667200473,0.23028046643744593,-0.01721757302340554,-0.15836661275354041
573,binary,robust,pca,filter_anova,logistic_regression,0.8072172976598223,0.9693627450980392,0.037388103480947635,0.0719308395782486,0.51904664227542,0.018676541658351132,0.0003280003341690333,0.821739120178421,0.2034644163515437,-0.014521822518598682,-0.13153357677329508
574,binary,robust,pca,filter_correlation,logistic_regression,0.8072172976598223,0.9693627450980392,0.037388103480947635,0.0719308395782486,0.51904664227542,0.018796500002887667,0.0008030696578013,0.821739120178421,0.2034644163515437,-0.014521822518598682,-0.13153357677329508
