track,fold,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,error_rate,roc_auc,fit_time_sec,predict_time_sec,status,skip_reason
binary,3,quantile,svd,filter_anova,lda_classifier,0.8012001043569006,1.0,0.00651890482398957,0.012953367875647668,0.1987998956430994,0.5321633323722945,0.013245541980722919,0.000354375020833686,ok,
binary,3,quantile,svd,filter_anova,mlp_ann,0.942081920166971,0.8769017980636238,0.8265971316818774,0.851006711409396,0.05791807983302899,0.9744599684813291,1.516371874982724,0.0006623330118600279,ok,
binary,3,quantile,svd,filter_correlation,knn,0.8802504565614401,0.98125,0.409387222946545,0.577736890524379,0.11974954343855992,0.8886730095227889,0.0033851669868454337,0.061809125007130206,ok,
binary,3,quantile,svd,filter_correlation,svm,0.9637359770414818,0.9511494252873564,0.863102998696219,0.9049897470950102,0.03626402295851816,0.9895002258015956,1.105720499996096,0.1830472920264583,ok,
binary,3,quantile,svd,filter_correlation,decision_tree,0.9196451865379598,0.8719611021069692,0.7014341590612777,0.7774566473988439,0.08035481346204021,0.832658054738389,0.15223733402672224,0.0002770409919321537,ok,
binary,3,quantile,svd,filter_correlation,logistic_regression,0.8009392121054004,1.0,0.005215123859191656,0.010376134889753566,0.19906078789459958,0.5321344161604203,0.013379457988776267,0.0003472499956842512,ok,
binary,3,quantile,svd,filter_correlation,lda_classifier,0.8012001043569006,1.0,0.00651890482398957,0.012953367875647668,0.1987998956430994,0.5321633323722945,0.010546417004661635,0.0005004169943276793,ok,
binary,3,quantile,svd,filter_correlation,mlp_ann,0.9446908426819723,0.8744939271255061,0.8448500651890483,0.8594164456233422,0.05530915731802766,0.9753706165361609,1.496048000000883,0.0005930829793214798,ok,
binary,3,quantile,svd,wrapper_sfs,knn,0.8992955909209497,0.9680589680589681,0.5136897001303781,0.6712095400340715,0.10070440907905032,0.8679145713044017,0.009119833004660904,0.05620433299918659,ok,
binary,3,quantile,svd,wrapper_sfs,svm,0.9204278632924602,0.8862876254180602,0.6910039113428944,0.7765567765567766,0.07957213670753982,0.9516729304284447,1.2566758749890141,0.1977884579973761,ok,
binary,3,quantile,svd,wrapper_sfs,decision_tree,0.906078789459953,0.831973898858075,0.6649282920469362,0.7391304347826086,0.09392121054004698,0.819116762813071,0.09205212502274662,0.006308499985607341,ok,
